.2021-05-03 10:48:24,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Execution python script started.
2021-05-03 10:56:06,165 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 389035 records read from table:termincep.
2021-05-03 10:56:06,331 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table TERMINCEP created successfully with 205871 records and 5 columns.
2021-05-03 10:56:07,710 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 10:56:07,710 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Hhld2 table
2021-05-03 10:56:08,302 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table HHLD2 created successfully with 32661 records.
2021-05-03 10:56:08,303 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 10:56:08,819 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 32661 records read from table:Hhld2.
2021-05-03 10:56:09,148 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Inf202012 created successfully with 32661 records
2021-05-03 10:56:10,982 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce202101.
2021-05-03 10:56:10,982 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCE202101 created successfully with 57892 records and 117 columns.
2021-05-03 10:56:17,961 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce202101.
2021-05-03 10:56:18,008 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 57892 records
2021-05-03 10:56:18,858 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 9839 records read from table:Gen1.
2021-05-03 10:56:19,036 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen1 created successfully with 9839 records
2021-05-03 10:56:27,454 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 325790 records read from table:inforcegenii202101.
2021-05-03 10:56:27,454 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table INFORCEGENII202101 created successfully with 325790 records and 213 columns.
2021-05-03 10:57:43,128 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 325790 records read from table:inforcegenii202101.
2021-05-03 10:57:44,838 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 325790 records
2021-05-03 10:58:27,072 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 56408 records read from table:Gen2.
2021-05-03 10:58:30,172 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Gen2 created successfully with 56408 records
2021-05-03 10:58:36,176 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Renew1 created successfully with 66247 records
2021-05-03 10:58:37,024 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33195 records read from table:agent.
2021-05-03 10:58:37,024 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table AGENT created successfully with 33195 records and 14 columns.
2021-05-03 10:58:37,612 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 33195 records read from table:agent202101.
2021-05-03 10:58:37,628 - GW_IPM_RENRATIO REGIONAL AUTO INFO - agent created successfully with 33195 records
2021-05-03 10:58:37,785 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Connected to SQLite temporary work DB
2021-05-03 10:58:37,786 - GW_IPM_RENRATIO REGIONAL AUTO INFO - executing Renew2 table
2021-05-03 10:58:38,045 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table RENEW2 created successfully with 66247 records.
2021-05-03 10:58:38,046 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Sqlite working DB connection is closed.
2021-05-03 10:58:38,947 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 66247 records read from table:Renew2.
2021-05-03 10:58:38,980 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Renew2 created successfully with 66247 records
2021-05-03 10:58:40,784 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 60900 records read from table:Renew6.
2021-05-03 10:58:41,093 - GW_IPM_RENRATIO REGIONAL AUTO INFO - ***Table HHLD1 created successfully with 32661 records and 31 columns.
2021-05-03 10:58:43,346 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 365044 records read from table:driver202101.
2021-05-03 10:58:43,347 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVER202101 created successfully with 365044 records and 43 columns.
2021-05-03 10:58:58,279 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 365044 records read from table:driver.
2021-05-03 10:58:58,545 - GW_IPM_RENRATIO REGIONAL AUTO INFO - driver created successfully with 365044 records
2021-05-03 10:59:02,620 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 315564 records read from table:drivergenii202101.
2021-05-03 10:59:02,620 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVERGENII202101 created successfully with 315564 records and 72 columns.
2021-05-03 10:59:12,667 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 365044 records read from table:driver.
2021-05-03 10:59:25,619 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 315564 records read from table:drivergenii.
2021-05-03 10:59:29,804 - GW_IPM_RENRATIO REGIONAL AUTO INFO - driver created successfully with 637066 records
2021-05-03 10:59:33,293 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 637066 records read from table:driver.
2021-05-03 10:59:33,510 - GW_IPM_RENRATIO REGIONAL AUTO INFO - Table DRIVER created successfully with 202918 records and 9 columns.
2021-05-03 10:59:39,259 - GW_IPM_RENRATIO REGIONAL AUTO INFO - There were total 57892 records read from table:inforce202101.
